Scenario	Year	Category	Segment	Fuel	Euro	Population	Mileage
COPERT-EU28	2014	Buses	Coaches Articulated >18 t	Diesel	Conventional	0	0
COPERT-EU28	2014	Buses	Coaches Articulated >18 t	Diesel	Euro I	0	0
COPERT-EU28	2014	Buses	Coaches Articulated >18 t	Diesel	Euro II	0	0
COPERT-EU28	2014	Buses	Coaches Articulated >18 t	Diesel	Euro III	0	0
COPERT-EU28	2014	Buses	Coaches Articulated >18 t	Diesel	Euro IV	0	0
COPERT-EU28	2014	Buses	Coaches Articulated >18 t	Diesel	Euro V	0	0
COPERT-EU28	2014	Buses	Coaches Articulated >18 t	Diesel	Euro VI	0	0
COPERT-EU28	2014	Buses	Coaches Standard <=18 t	Diesel	Conventional	3.61129183941859	35050.5975494533
COPERT-EU28	2014	Buses	Coaches Standard <=18 t	Diesel	Euro I	39.7242102336045	40049.9408773758
COPERT-EU28	2014	Buses	Coaches Standard <=18 t	Diesel	Euro II	402.057158121937	45777.1413626701
COPERT-EU28	2014	Buses	Coaches Standard <=18 t	Diesel	Euro III	2997.37222671743	52354.9431466013
COPERT-EU28	2014	Buses	Coaches Standard <=18 t	Diesel	Euro IV	745.129882866703	59883.6198856686
COPERT-EU28	2014	Buses	Coaches Standard <=18 t	Diesel	Euro V	646.421239255928	68531.749152098
COPERT-EU28	2014	Buses	Coaches Standard <=18 t	Diesel	Euro VI	97.504879664302	75767.2775057819
COPERT-EU28	2014	Buses	Urban Biodiesel Buses	Biodiesel	Conventional	0	0
COPERT-EU28	2014	Buses	Urban Biodiesel Buses	Biodiesel	Euro I	0	0
COPERT-EU28	2014	Buses	Urban Biodiesel Buses	Biodiesel	Euro II	0	0
COPERT-EU28	2014	Buses	Urban Biodiesel Buses	Biodiesel	Euro III	0	0
COPERT-EU28	2014	Buses	Urban Biodiesel Buses	Biodiesel	Euro IV	0	0
COPERT-EU28	2014	Buses	Urban Biodiesel Buses	Biodiesel	Euro V	0	0
COPERT-EU28	2014	Buses	Urban Biodiesel Buses	Biodiesel	Euro VI	0	0
COPERT-EU28	2014	Buses	Urban Buses Articulated >18 t	Diesel	Conventional	626.789556314361	54348.154086168
COPERT-EU28	2014	Buses	Urban Buses Articulated >18 t	Diesel	Euro I	96.0961888824504	62099.9500757297
COPERT-EU28	2014	Buses	Urban Buses Articulated >18 t	Diesel	Euro II	121.20240039228	70980.3343264685
COPERT-EU28	2014	Buses	Urban Buses Articulated >18 t	Diesel	Euro III	382.653292667055	81179.6293426796
COPERT-EU28	2014	Buses	Urban Buses Articulated >18 t	Diesel	Euro IV	398.236458431776	92853.3157299795
COPERT-EU28	2014	Buses	Urban Buses Articulated >18 t	Diesel	Euro V	383.519024098428	106262.783607549
COPERT-EU28	2014	Buses	Urban Buses Articulated >18 t	Diesel	Euro VI	41.5551087059245	117481.925001815
COPERT-EU28	2014	Buses	Urban Buses Midi <=15 t	Diesel	Conventional	0	0
COPERT-EU28	2014	Buses	Urban Buses Midi <=15 t	Diesel	Euro I	0	0
COPERT-EU28	2014	Buses	Urban Buses Midi <=15 t	Diesel	Euro II	0	0
COPERT-EU28	2014	Buses	Urban Buses Midi <=15 t	Diesel	Euro III	0	0
COPERT-EU28	2014	Buses	Urban Buses Midi <=15 t	Diesel	Euro IV	0	0
COPERT-EU28	2014	Buses	Urban Buses Midi <=15 t	Diesel	Euro V	0	0
COPERT-EU28	2014	Buses	Urban Buses Midi <=15 t	Diesel	Euro VI	0	0
COPERT-EU28	2014	Buses	Urban Buses Standard 15 - 18 t	Diesel	Conventional	938.689329534237	53970.361555281
COPERT-EU28	2014	Buses	Urban Buses Standard 15 - 18 t	Diesel	Euro I	144.480293117251	61668.2721705359
COPERT-EU28	2014	Buses	Urban Buses Standard 15 - 18 t	Diesel	Euro II	182.546957172096	70486.9258455496
COPERT-EU28	2014	Buses	Urban Buses Standard 15 - 18 t	Diesel	Euro III	575.325718101629	80615.3220880632
COPERT-EU28	2014	Buses	Urban Buses Standard 15 - 18 t	Diesel	Euro IV	596.089353040635	92207.8607050442
COPERT-EU28	2014	Buses	Urban Buses Standard 15 - 18 t	Diesel	Euro V	572.730263734253	105524.114803921
COPERT-EU28	2014	Buses	Urban Buses Standard 15 - 18 t	Diesel	Euro VI	61.4257533612265	116665.268124941
COPERT-EU28	2014	Buses	Urban CNG Buses	CNG	EEV	103.827367205543	64887.9843917236
COPERT-EU28	2014	Buses	Urban CNG Buses	CNG	Euro I	25.1657043879908	43396.8411312181
COPERT-EU28	2014	Buses	Urban CNG Buses	CNG	Euro II	31.7961893764434	49602.6532783056
COPERT-EU28	2014	Buses	Urban CNG Buses	CNG	Euro III	100.210739030023	56730.1499176616
